targetname RA Dec gmag n_obs
SDSSJ010322.19-002047.7 15.842491 -0.346615 19.103 19
SDSSJ022817.16-082716.4 37.071590 -8.454531 19.817 8
SDSSJ024854.96+334548.3 42.229016 33.763399 18.378 8
SDSSJ041053.632-063027.580 62.723477 -6.507680 18.888 4
SDSSJ055701.288-163512.115 89.255384 -16.586710 17.787 4
SDSSJ072752.76+321416.1 111.969816 32.237790 18.023 12
SDSSJ081508.78+073145.7 123.786590 7.529381 19.758 2
SDSSJ102430.93-003207.0 156.128829 -0.535309 18.897 8
SDSSJ111059.42-170954.2 167.747648 -17.165082 17.904 19
SDSSJ111127.30+395628.0 167.863796 39.941134 18.433 19
SDSSJ120650.504+020143.810 181.710041 2.028381 18.699 10
SDSSJ121405.11+453818.5 183.521294 45.638502 17.796 16
SDSSJ130234.43+101238.9 195.643437 10.210770 17.056 10
SDSSJ131445.050-031415.588 198.687694 -3.237680 19.087 10
SDSSJ151421.27+004752.8 228.588650 0.797905 15.728 19
SDSSJ155745.40+554609.7 239.439098 55.769281 17.492 19
SDSSJ163800.360+004717.822 249.501474 0.788263 18.869 19
SDSSJ172135.97+294016.0 260.399803 29.671155 19.627 19
SDSSJ181424.075+785403.048 273.600359 78.900841 16.590 19
SDSSSJ20372.169-051302.964 309.342385 -5.217506 18.992 19
SDSSJ210150.65-054550.9 315.461108 -5.764195 18.668 19
SDSSJ232941.330+001107.755 352.422172 0.185440 18.148 19
SDSSJ235144.29+375542.6 357.934504 37.928498 18.107 19
