targetname RA Dec gmag n_obs
SDSSJ024854.96+334548.3 42.229016 33.763399 18.378 2
SDSSJ072752.76+321416.1 111.969816 32.237790 18.023 8
SDSSJ102430.93-003207.0 156.128829 -0.535309 18.897 6
SDSSJ111127.30+395628.0 167.863796 39.941134 18.433 3
SDSSJ120650.504+020143.810 181.710041 2.028381 18.699 10
SDSSJ121405.11+453818.5 183.521294 45.638502 17.796 14
SDSSJ130234.43+101238.9 195.643437 10.210770 17.056 2
SDSSJ131445.050-031415.588 198.687694 -3.237680 19.087 3
SDSSJ151421.27+004752.8 228.588650 0.797905 15.728 5
SDSSJ155745.40+554609.7 239.439098 55.769281 17.492 7
SDSSJ163800.360+004717.822 249.501474 0.788263 18.869 5
SDSSJ172135.97+294016.0 260.399803 29.671155 19.627 4
SDSSJ181424.075+785403.048 273.600359 78.900841 16.590 7
SDSSJ20372.169-051302.964 309.342385 -5.217506 18.992 3
SDSSJ210150.65-054550.9 315.461108 -5.764195 18.668 5
SSSJ023824 39.603292 -36.039917 18.4 19
A020.503022 20.503042 -30.867750 18.4 19
WD0418-534 64.853333 -53.321389 16.4 19
WD0418-5SSSJ045822 74.595000 -56.626194 18.0 19
WD0418-5SSSJ054114 85.311292 -19.510500 18.4 19
WD0418-5WD0757-606 119.460833 -60.832222 19.5 19
WD0418-5SSSJ063941  99.922500 -57.209000 18.6 19
WD0418-5SSSJ105525 163.855917 -36.204500 18.3 19
WD0418-5WD1203-272 181.584167 -27.494167 18.0 19
WD0418-5SSSJ143459 218.748500 -28.317694 18.0 19
WD0418-5WD1529-772 233.940000 -77.411667 16.9 19
WD0418-5SSSJ183717 279.324417 -70.047389 17.9 19
WD0418-5SSSJ193018 292.578875 -52.062611 17.9 19
WD0418-5WD2314-293 349.334167 -29.056111 18.4 19
WD0418-5SSSJ095657 149.237583 -38.691194 18.1 19
