targetname RA Dec gmag n_obs
SDSSJ010322.19-002047.7 15.842491 -0.346615 19.5 10
SDSSJ081508.78+073145.7 123.786590 7.529381 19.8 10
SDSSJ102430.93-003207.0 156.128829 -0.535309 19.5 10
SDSSJ111059.42-170954.2 167.747648 -17.165082 18.2 10
SDSSJ121405.11+453818.5 183.521294 45.638502 17.796 14
SSSJ023824 39.603292 -36.039917 18.4 19
A020.503022 20.503042 -30.867750 18.4 19
WD0418-534 64.853333 -53.321389 16.4 19
SSSJ045822 74.595000 -56.626194 18.0 19
SSSJ054114 85.311292 -19.510500 18.4 19
WD0757-606 119.460833 -60.832222 19.5 19
SSSJ063941  99.922500 -57.209000 18.6 19
SSSJ105525 163.855917 -36.204500 18.3 19
WD1203-272 181.584167 -27.494167 18.0 19
SSSJ143459 218.748500 -28.317694 18.0 19
WD1529-772 233.940000 -77.411667 16.9 19
SSSJ183717 279.324417 -70.047389 17.9 19
SSSJ193018 292.578875 -52.062611 17.9 19
WD2314-293 349.334167 -29.056111 18.4 19
SSSJ095657 149.237583 -38.691194 18.1 19
